income,saving,wageinc,asset,foodhome,foodaway,fooddelv,rent
9160691.774,197670.6361,84697.39353,116876936.6,11992.01859,22402.67209,0,0
9327857.682,237204.7633,82468.51475,122689661.3,10849.92158,19767.06361,0,0
10029954.5,218535.8699,83582.95414,126806262.1,10278.87308,17131.45513,0,0
8703771.625,228419.4017,85811.83292,118591619.6,11420.97008,21084.86785,0,0
167165.9083,0,167165.9083,477704.0372,8565.727563,8565.727563,0,0
167165.9083,0,167165.9083,477704.0372,8565.727563,8565.727563,0,0
167165.9083,0,167165.9083,476605.867,8565.727563,8565.727563,0,0
167165.9083,0,167165.9083,477704.0372,8565.727563,8565.727563,0,0
167165.9083,0,167165.9083,477704.0372,8565.727563,8565.727563,0,0
15602.15144,768.7191403,0,162199.7386,2855.242521,0,0,0
15602.15144,768.7191403,0,162199.7386,2855.242521,0,0,0
16716.59083,768.7191403,0,162199.7386,2855.242521,0,0,0
16716.59083,768.7191403,0,162199.7386,2855.242521,0,0,0
15602.15144,768.7191403,0,162199.7386,2855.242521,0,0,0
100299.545,10981.702,84697.39353,444484.3886,7423.630555,4612.314842,0,0
117016.1358,42828.63782,102528.4237,423838.7888,6852.582051,4612.314842,0,0
123702.7721,14276.21261,114787.257,425815.4952,7423.630555,4612.314842,0,0
123702.7721,14276.21261,95841.78742,503236.4943,6852.582051,4612.314842,0,0
123702.7721,43926.80802,95841.78742,443386.2184,7423.630555,4612.314842,0,0
1270460.903,0,0,9819837.932,11420.97008,8565.727563,0,0
1315038.479,0,0,16517577.98,11420.97008,8565.727563,0,0
1872258.173,0,0,9247691.258,11420.97008,8565.727563,0,0
1727381.052,0,0,8610752.541,11420.97008,8565.727563,0,0
1738525.446,0,0,8204429.567,11420.97008,8565.727563,0,0
141533.8023,14276.21261,128160.5297,848446.2968,8565.727563,2855.242521,0,0
141533.8023,14276.21261,128160.5297,848446.2968,8565.727563,2855.242521,0,0
141533.8023,14276.21261,128160.5297,848446.2968,8565.727563,2855.242521,0,0
141533.8023,14276.21261,128160.5297,848446.2968,8565.727563,2855.242521,0,0
141533.8023,14276.21261,128160.5297,848446.2968,8565.727563,2855.242521,0,0
50149.77249,1098.1702,50149.77249,6808.655243,5710.485042,2284.194017,0,2415.974441
50149.77249,1098.1702,50149.77249,6808.655243,5710.485042,2284.194017,0,2415.974441
50149.77249,1098.1702,50149.77249,6808.655243,5710.485042,2284.194017,0,2415.974441
50149.77249,1098.1702,50149.77249,6808.655243,5710.485042,2284.194017,0,2415.974441
50149.77249,1098.1702,50149.77249,6808.655243,5710.485042,2284.194017,0,2415.974441
78010.7572,0,0,137820.3602,8565.727563,2855.242521,658.9021202,1757.072321
78010.7572,0,0,42279.55272,8565.727563,2855.242521,658.9021202,1757.072321
78010.7572,0,0,75224.65873,8565.727563,2855.242521,658.9021202,1757.072321
78010.7572,0,0,293760.5286,8565.727563,2855.242521,658.9021202,1757.072321
78010.7572,0,0,96089.89254,8565.727563,2855.242521,658.9021202,1757.072321
529358.7096,0,86926.27231,4786265.001,11420.97008,11420.97008,0,0
507069.9218,0,86926.27231,4923536.277,11420.97008,11420.97008,0,0
502612.1642,0,86926.27231,4685343.16,11420.97008,11420.97008,0,0
500383.2855,0,86926.27231,5107040.517,11420.97008,11420.97008,0,0
488124.4522,0,86926.27231,5046531.339,11420.97008,11420.97008,0,0
312043.0288,0,278609.8471,1145391.519,11420.97008,5271.216962,0,0
312043.0288,0,278609.8471,1146489.689,11420.97008,5271.216962,0,0
312043.0288,0,278609.8471,1145391.519,11420.97008,5271.216962,0,0
312043.0288,0,278609.8471,1146489.689,11420.97008,5271.216962,0,0
312043.0288,0,278609.8471,1145391.519,11420.97008,5271.216962,0,0
49035.3331,0,0,1768054.023,2855.242521,54.90851002,395.3412721,0
50149.77249,0,0,1985491.722,2855.242521,54.90851002,395.3412721,0
50149.77249,0,0,1834493.32,2855.242521,54.90851002,395.3412721,0
50149.77249,0,0,1818569.852,2855.242521,54.90851002,395.3412721,0
50149.77249,0,0,1965724.659,2855.242521,54.90851002,395.3412721,0
20059.90899,0,14487.71205,439.2680802,2855.242521,4568.388034,0,329.4510601
20059.90899,0,14487.71205,549.0851002,2855.242521,4568.388034,0,329.4510601
20059.90899,0,14487.71205,549.0851002,2855.242521,3997.339529,0,329.4510601
18945.46961,0,14487.71205,549.0851002,2855.242521,4568.388034,0,329.4510601
20059.90899,0,14487.71205,735.7740343,2855.242521,3997.339529,0,329.4510601
20059.90899,0,20059.90899,6698.838222,6852.582051,3426.291025,0,768.7191403
20059.90899,0,20059.90899,6698.838222,6852.582051,3426.291025,0,768.7191403
