
n_households:  100
Initial exploration has been finished!
[2023-05-16 22:13:51.433887] Epoch: 40 / 5000, Frames: 41000, gov_Rewards: 1.037, house_Rewards: -92.515, years:1.000, gov_actor_loss: -1541.853, gov_critic_loss: 2659777536.000, house_actor_loss: 121829.930, house_critic_loss: 12490421248.000
[2023-05-16 22:14:05.518747] Epoch: 41 / 5000, Frames: 42000, gov_Rewards: 1.054, house_Rewards: -97.673, years:1.000, gov_actor_loss: 79597.141, gov_critic_loss: 3277992960.000, house_actor_loss: -30601.941, house_critic_loss: 8973253632.000
[2023-05-16 22:14:19.704904] Epoch: 42 / 5000, Frames: 43000, gov_Rewards: 1.054, house_Rewards: -97.943, years:1.000, gov_actor_loss: 73277.812, gov_critic_loss: 2130495744.000, house_actor_loss: 168842.656, house_critic_loss: 7288411136.000
[2023-05-16 22:14:33.783421] Epoch: 43 / 5000, Frames: 44000, gov_Rewards: 1.075, house_Rewards: -100.337, years:1.000, gov_actor_loss: 2305.857, gov_critic_loss: 2997353728.000, house_actor_loss: -268409.719, house_critic_loss: 11668217856.000
[2023-05-16 22:14:47.998698] Epoch: 44 / 5000, Frames: 45000, gov_Rewards: 1.059, house_Rewards: -100.589, years:1.000, gov_actor_loss: 21109.598, gov_critic_loss: 1534351360.000, house_actor_loss: -190423.516, house_critic_loss: 6151166976.000
[2023-05-16 22:15:02.314729] Epoch: 45 / 5000, Frames: 46000, gov_Rewards: 1.087, house_Rewards: -102.682, years:1.000, gov_actor_loss: 55614.512, gov_critic_loss: 2253858816.000, house_actor_loss: 238097.938, house_critic_loss: 8937644032.000
[2023-05-16 22:15:16.420126] Epoch: 46 / 5000, Frames: 47000, gov_Rewards: 1.076, house_Rewards: -102.806, years:1.000, gov_actor_loss: 13362.893, gov_critic_loss: 1226971520.000, house_actor_loss: -181165.469, house_critic_loss: 8349016064.000
[2023-05-16 22:15:30.603753] Epoch: 47 / 5000, Frames: 48000, gov_Rewards: 1.081, house_Rewards: -104.869, years:1.000, gov_actor_loss: 82857.625, gov_critic_loss: 1584125312.000, house_actor_loss: 21604.840, house_critic_loss: 2469789696.000
[2023-05-16 22:15:44.850387] Epoch: 48 / 5000, Frames: 49000, gov_Rewards: 1.112, house_Rewards: -104.821, years:1.000, gov_actor_loss: 49163.754, gov_critic_loss: 1580749312.000, house_actor_loss: 217216.781, house_critic_loss: 6312830976.000
[2023-05-16 22:15:59.198498] Epoch: 49 / 5000, Frames: 50000, gov_Rewards: 1.088, house_Rewards: -106.095, years:1.000, gov_actor_loss: 5613.712, gov_critic_loss: 2213413632.000, house_actor_loss: -74222.188, house_critic_loss: 6485707264.000
