WGT,EDUC,LF,FOODHOME,FOODAWAY,FOODDELV,RENT,INCOME,WAGEINC,INTDIVINC,KGINC,SAVING,LIQ,FIN,ASSET,NFIN,DEBT,NETWORTH,TPAY,PIRTOTAL,CONSUMPTION,CONS_P
6133.281261,8,1,3600,400,0,0,59450.1503,48641.03206,0,0,0,501,501,524201,523700,160920,363281,2214.35,0.446966069,26572.2,0.045527538
18445.5485,13,1,13520,600,0,1700,113495.7415,113495.7415,237.8006012,0,1980,36020,43620,79620,36000,243600,-163980,772.5,0.081677073,9270,0.048002301
17881.63484,13,1,13000,720,0,1700,116738.477,116738.477,237.8006012,0,1770,36110,43710,77710,34000,244300,-166590,777.5,0.079922235,9330,0.047981862
18238.61194,13,1,13000,600,0,1800,119981.2124,119981.2124,237.8006012,0,1930,33600,42770,79770,37000,244300,-164530,862.5,0.086263506,10350,0.051814454
18054.48686,13,1,13000,720,0,1700,108091.1824,108091.1824,237.8006012,0,1570,33940,41610,75610,34000,243800,-168190,805,0.089368992,9660,0.052585399
17999.90609,13,1,13000,600,0,1500,119981.2124,119981.2124,237.8006012,0,1880,30960,50130,83130,33000,243900,-160770,857.5,0.085763427,10290,0.0506619
3426.378755,8,1,5200,2600,0,0,55126.50301,52964.67936,0,0,0,3290,3290,315090,311800,22300,292790,757.5,0.164893463,9090,0.0245532
3162.443898,8,1,5200,2600,0,0,51883.76754,47560.12024,0,0,0,2690,2690,313490,310800,22300,291190,767.5,0.177512167,9210,0.025207064
3266.924317,10,1,5200,2600,0,0,46479.20842,39993.73748,0,0,0,3360,3360,312390,309030,22300,290090,757.5,0.195571317,9090,0.025329562
3234.728016,8,1,5200,2600,0,0,54045.59118,48641.03206,0,0,0,3260,3260,315760,312500,22300,293460,767.5,0.17041168,9210,0.024904978
3187.571285,8,1,5200,2600,0,0,33508.26653,29184.61924,0,0,0,3380,3380,312200,308820,22300,289900,757.5,0.271276343,9090,0.026293846
1776.951905,4,0,6000,0,0,0,22699.1483,0,0,0,950,2650,2650,23350,20700,600,22750,100,0.05286542,1200,0.026059114
1765.436674,4,0,6000,0,0,0,21618.23647,0,0,0,950,2650,2650,29750,27100,600,29150,100,0.055508691,1200,0.02336074
1798.737902,4,0,6000,0,0,0,22699.1483,0,0,0,950,2650,2650,27850,25200,600,27250,100,0.05286542,1200,0.023739272
1761.611691,4,0,6000,0,0,0,22699.1483,0,0,0,950,2650,2650,27950,25300,600,27350,100,0.05286542,1200,0.023692402
1792.614278,4,0,6000,0,0,0,21618.23647,0,0,0,950,2650,2650,25850,23200,600,25250,100,0.055508691,1200,0.025280063
8217.213868,8,0,2400,2400,0,0,81068.38677,64854.70942,0,0,0,58100,428100,1051200,623100,0,1051200,0,0,0,0
8247.743942,8,0,2400,2400,0,0,81068.38677,64854.70942,0,0,0,58100,428100,950200,522100,0,950200,0,0,0,0
8878.060201,8,0,2400,2400,0,0,81068.38677,64854.70942,0,0,0,58100,428100,1030100,602000,0,1030100,0,0,0,0
8468.168307,8,0,2400,2400,0,0,81068.38677,64854.70942,0,0,0,58100,428100,989100,561000,0,989100,0,0,0,0
9015.093225,8,0,2400,2400,0,0,81068.38677,64854.70942,0,0,0,58100,428100,1063200,635100,0,1063200,0,0,0,0
22814.84417,12,1,0,5200,5200,1900,49721.94389,43236.47295,0,0,3000,13000,13000,44000,31000,0,44000,0,0,0,0
22114.85992,12,1,0,5200,5200,1900,49721.94389,43236.47295,0,0,3000,13000,13000,44000,31000,0,44000,0,0,0,0
22343.58271,12,1,0,5200,5200,1900,49721.94389,43236.47295,0,0,3000,13000,13000,43000,30000,0,43000,0,0,0,0
22309.37322,12,1,0,5200,5200,1900,49721.94389,43236.47295,0,0,3000,13000,13000,44000,31000,0,44000,0,0,0,0
22114.6769,12,1,0,5200,5200,1900,49721.94389,43236.47295,0,0,3000,13000,13000,44000,31000,0,44000,0,0,0,0
2680.140369,13,1,5400,1800,0,0,86472.94589,86472.94589,0,0,0,2500,2500,230300,227800,145800,84500,1520,0.210933024,18240,0.057580675
2561.249048,13,1,5400,1800,0,0,86472.94589,86472.94589,0,0,0,2500,2500,229300,226800,145800,83500,1520,0.210933024,18240,0.057763023
2615.638423,13,1,5400,1800,0,0,86472.94589,86472.94589,0,0,0,2500,2500,230300,227800,145800,84500,1520,0.210933024,18240,0.057580675
2612.853114,13,1,5400,1800,0,0,86472.94589,86472.94589,0,0,0,2500,2500,230300,227800,145800,84500,1520,0.210933024,18240,0.057580675
2576.824608,13,1,5400,1800,0,0,86472.94589,86472.94589,0,0,0,2500,2600,229400,226800,145800,83600,1520,0.210933024,18240,0.057744736
445.8481868,12,1,7800,3600,0,0,1887272.044,0,586935.1202,108091.1824,0,207000,31082000,46867500,15785500,0,46867500,0,0,0,0
445.451345,12,1,7800,3600,0,0,1929427.605,0,670165.3307,108091.1824,0,56000,24909000,41904600,16995600,0,41904600,0,0,0,0
449.1377796,12,1,7800,3600,0,0,1902404.81,0,583692.3848,108091.1824,0,150000,20684000,37359600,16675600,0,37359600,0,0,0,0
454.2483076,12,1,7800,3600,0,0,1890514.78,0,631252.505,108091.1824,0,84000,27709000,44014600,16305600,0,44014600,0,0,0,0
453.2115605,12,1,7800,3600,0,0,1941317.635,0,583692.3848,108091.1824,0,19000,22314000,40889500,18575500,0,40889500,0,0,0,0
3424.987204,12,1,15000,7000,5000,0,306978.9579,291846.1924,2486.097194,12970.94188,308100,425200,2877200,3435200,558000,0,3435200,0,0,0,0
3753.298922,12,1,15000,7000,5000,0,306978.9579,291846.1924,2486.097194,12970.94188,308100,425200,2859200,3418200,559000,0,3418200,0,0,0,0
4073.289558,12,1,15000,7000,5000,0,308059.8697,291846.1924,2486.097194,12970.94188,308100,425200,2831200,3388200,557000,0,3388200,0,0,0,0
3647.504806,12,1,15000,7000,5000,0,306978.9579,291846.1924,2486.097194,12970.94188,308100,425200,2890200,3449200,559000,0,3449200,0,0,0,0
3529.149378,12,1,15000,7000,5000,0,308059.8697,291846.1924,2486.097194,12970.94188,308100,425200,2848200,3405200,557000,0,3405200,0,0,0,0
20117.9901,10,0,4800,3600,0,0,57288.32665,0,0,0,0,1000,1000,116700,115700,33800,82900,760,0.159194735,9120,0.05241731
18778.05329,10,0,4800,3600,0,0,57288.32665,0,0,0,0,1000,1000,112800,111800,33700,79100,760,0.159194735,9120,0.0536192
19062.18733,10,0,4800,3600,0,0,57288.32665,0,0,0,0,1000,1000,113500,112500,33400,80100,760,0.159194735,9120,0.053399434
18989.53639,10,0,4800,3600,0,0,57288.32665,0,0,0,0,1000,1000,111900,110900,33400,78500,760,0.159194735,9120,0.053904428
18857.19437,10,0,4800,3600,0,0,57288.32665,0,0,0,0,1000,1000,112200,111200,33750,78450,750,0.157100068,9000,0.053101002
6933.537336,14,1,12000,8400,0,0,324273.5471,324273.5471,0,0,0,220000,1598000,2556000,958000,165000,2391000,3375,0.124894554,40500,0.014061164
8164.245833,14,1,12000,8400,0,0,324273.5471,324273.5471,0,0,0,220000,1617000,2574000,957000,152690,2421310,3067.25,0.113506021,36807,0.012699629
3509.894617,14,1,12000,8400,0,0,324273.5471,324273.5471,0,0,0,220000,3508000,4466000,958000,150000,4316000,3000,0.111017381,36000,0.007515228
7006.14155,14,1,12000,8400,0,0,324273.5471,324273.5471,0,0,0,220000,1161000,2118000,957000,160300,1957700,3257.5,0.120546373,39090,0.016005578
3041.478013,14,1,12000,8400,0,0,324273.5471,324273.5471,0,0,0,220000,2884000,3842000,958000,150000,3692000,3000,0.111017381,36000,0.008640815
47.86585117,12,1,15600,15600,0,0,3480536.072,0,1118743.738,117819.3888,450000,1570000,11540000,87236000,75696000,780000,86456000,3000,0.010343234,36000,0.000396841
47.44788337,12,1,15600,15600,0,0,3956137.275,0,1130633.768,486410.3206,450000,1570000,10640000,86335000,75695000,780000,85555000,3000,0.009099785,36000,0.00039871
47.8197061,12,1,15600,15600,0,0,3069789.579,0,1129552.856,579368.7375,450000,1570000,15820000,91517000,75697000,780000,90737000,3000,0.011727188,36000,0.000380603
48.78929385,12,1,15600,15600,0,0,3772382.265,0,1121986.473,171864.98,450000,1570000,15340000,91036000,75696000,780000,90256000,3000,0.009543041,36000,0.000379713
48.14878109,12,1,15600,15600,0,0,4680348.196,0,1131714.679,1080911.824,450000,1570000,11000000,86695000,75695000,780000,85915000,3000,0.007691735,36000,0.000393979
4083.825044,8,1,10800,360,0,1700,42155.56112,42155.56112,0,0,300,320,2420,12420,10000,9800,2620,340,0.096784384,4080,0.074758737
3995.252915,8,1,10800,360,0,1700,42155.56112,42155.56112,0,0,300,310,3110,13110,10000,9800,3310,330,0.093937784,3960,0.071654027
4024.661617,8,1,10800,360,0,1700,42155.56112,42155.56112,0,0,300,320,3820,14820,11000,9800,5020,340,0.096784384,4080,0.07160965
4023.457422,8,1,10800,360,0,1700,42155.56112,42155.56112,0,0,300,310,2470,13470,11000,9800,3670,340,0.096784384,4080,0.073347575
3977.849513,8,1,10800,360,0,1800,42155.56112,42155.56112,0,0,300,320,4620,15620,11000,9800,5820,340,0.096784384,4080,0.070618094
13312.14531,9,0,600,360,0,700,12970.94188,0,0,0,0,520,520,520,0,0,520,0,0,0,0
13413.7445,9,0,600,360,0,700,12970.94188,0,0,0,0,140,140,140,0,0,140,0,0,0,0
13412.09202,9,0,600,360,0,700,12970.94188,0,0,0,0,60,60,60,0,0,60,0,0,0,0
