"Step","rule_based-run236  n=100 - GDP","rule_based-run236  n=100 - GDP__MIN","rule_based-run236  n=100 - GDP__MAX","independent_ppo-run5  n=100 - GDP","independent_ppo-run5  n=100 - GDP__MIN","independent_ppo-run5  n=100 - GDP__MAX","independent_ppo-run4  n=10 - GDP","independent_ppo-run4  n=10 - GDP__MIN","independent_ppo-run4  n=10 - GDP__MAX","bmfac-run106  n=100 - GDP","bmfac-run106  n=100 - GDP__MIN","bmfac-run106  n=100 - GDP__MAX","maddpg-run36  n=100 - GDP","maddpg-run36  n=100 - GDP__MIN","maddpg-run36  n=100 - GDP__MAX","bmfac-run112  n=10 - GDP","bmfac-run112  n=10 - GDP__MIN","bmfac-run112  n=10 - GDP__MAX","rule_based-run235  n=10 - GDP","rule_based-run235  n=10 - GDP__MIN","rule_based-run235  n=10 - GDP__MAX","maddpg-run35  n=10 - GDP","maddpg-run35  n=10 - GDP__MIN","maddpg-run35  n=10 - GDP__MAX"
"1864","","","","560510.6157542713","560510.6157542713","560510.6157542713","156689.79344515075","156689.79344515075","156689.79344515075","970985.4051504543","970985.4051504543","970985.4051504543","8680124.25422722","8680124.25422722","8680124.25422722","2876069.3139165216","2876069.3139165216","2876069.3139165216","","","","4819837.8203789545","4819837.8203789545","4819837.8203789545"
"1865","","","","595916.4402253361","595916.4402253361","595916.4402253361","274081.1870809558","274081.1870809558","274081.1870809558","977013.0162140416","977013.0162140416","977013.0162140416","9902256.512515655","9902256.512515655","9902256.512515655","2962856.330998246","2962856.330998246","2962856.330998246","","","","4198911.2510280125","4198911.2510280125","4198911.2510280125"
"1866","","","","741391.8511538674","741391.8511538674","741391.8511538674","229346.93180052657","229346.93180052657","229346.93180052657","997155.2135669183","997155.2135669183","997155.2135669183","8378985.089486953","8378985.089486953","8378985.089486953","2963126.5481582237","2963126.5481582237","2963126.5481582237","","","","6819733.818013877","6819733.818013877","6819733.818013877"
"1867","","","","746481.8271720496","746481.8271720496","746481.8271720496","230723.87619736025","230723.87619736025","230723.87619736025","981010.1719447158","981010.1719447158","981010.1719447158","11420178.770765778","11420178.770765778","11420178.770765778","3025050.8056070576","3025050.8056070576","3025050.8056070576","","","","2189408.4641870805","2189408.4641870805","2189408.4641870805"
"1868","","","","632231.4621613747","632231.4621613747","632231.4621613747","297693.7644416844","297693.7644416844","297693.7644416844","1009201.556980098","1009201.556980098","1009201.556980098","8962012.665615417","8962012.665615417","8962012.665615417","2844332.9120733766","2844332.9120733766","2844332.9120733766","","","","3987392.0206780955","3987392.0206780955","3987392.0206780955"
"1869","","","","644526.9614186608","644526.9614186608","644526.9614186608","156891.61605943143","156891.61605943143","156891.61605943143","967996.1732407069","967996.1732407069","967996.1732407069","7761738.491523717","7761738.491523717","7761738.491523717","2810792.9348214273","2810792.9348214273","2810792.9348214273","","","","4937176.565110432","4937176.565110432","4937176.565110432"
"1870","","","","731599.9629847964","731599.9629847964","731599.9629847964","200037.4342050525","200037.4342050525","200037.4342050525","967139.1021903611","967139.1021903611","967139.1021903611","8956830.668678984","8956830.668678984","8956830.668678984","2944478.1080783573","2944478.1080783573","2944478.1080783573","","","","5363070.069016601","5363070.069016601","5363070.069016601"
"1871","","","","693608.755153456","693608.755153456","693608.755153456","251049.18671919213","251049.18671919213","251049.18671919213","920571.5590403702","920571.5590403702","920571.5590403702","10152488.16181124","10152488.16181124","10152488.16181124","2877406.6506196116","2877406.6506196116","2877406.6506196116","","","","6378725.197840054","6378725.197840054","6378725.197840054"
"1872","","","","726093.1074788048","726093.1074788048","726093.1074788048","216296.00543917462","216296.00543917462","216296.00543917462","956261.622856327","956261.622856327","956261.622856327","7272111.077182478","7272111.077182478","7272111.077182478","3026218.7897039875","3026218.7897039875","3026218.7897039875","","","","4318889.3547826065","4318889.3547826065","4318889.3547826065"
"1873","","","","592001.8376793325","592001.8376793325","592001.8376793325","256045.47802607145","256045.47802607145","256045.47802607145","927367.2585116808","927367.2585116808","927367.2585116808","8083371.559187805","8083371.559187805","8083371.559187805","2948870.038555044","2948870.038555044","2948870.038555044","","","","5912054.609175379","5912054.609175379","5912054.609175379"
