
n_households:  100
[2023-06-03 01:25:08.561260] Update: 83 / 2000, Frames: 42000, Gov_Rewards: 1.910, House_Rewards: 960.649, years: 150.500, PL: -0.000,VL: 6729.006, Ent: 1.346
[2023-06-03 01:25:18.986872] Update: 84 / 2000, Frames: 42500, Gov_Rewards: 1.540, House_Rewards: 763.854, years: 120.600, PL: -0.001,VL: 6691.379, Ent: 1.345
[2023-06-03 01:25:30.940739] Update: 85 / 2000, Frames: 43000, Gov_Rewards: 2.308, House_Rewards: 1138.542, years: 180.400, PL: -0.001,VL: 7322.337, Ent: 1.345
[2023-06-03 01:25:42.938229] Update: 86 / 2000, Frames: 43500, Gov_Rewards: 2.311, House_Rewards: 1144.807, years: 180.400, PL: -0.001,VL: 6395.777, Ent: 1.345
[2023-06-03 01:25:51.833932] Update: 87 / 2000, Frames: 44000, Gov_Rewards: 1.452, House_Rewards: 569.311, years: 89.400, PL: -0.001,VL: 6412.462, Ent: 1.344
[2023-06-03 01:26:00.366194] Update: 88 / 2000, Frames: 44500, Gov_Rewards: 1.226, House_Rewards: 581.666, years: 90.700, PL: -0.001,VL: 6577.471, Ent: 1.343
[2023-06-03 01:26:13.254719] Update: 89 / 2000, Frames: 45000, Gov_Rewards: 2.651, House_Rewards: 1342.771, years: 210.300, PL: -0.002,VL: 6294.496, Ent: 1.341
[2023-06-03 01:26:24.830992] Update: 90 / 2000, Frames: 45500, Gov_Rewards: 2.355, House_Rewards: 1000.113, years: 158.000, PL: 0.001,VL: 6557.022, Ent: 1.341
[2023-06-03 01:26:36.853085] Update: 91 / 2000, Frames: 46000, Gov_Rewards: 2.268, House_Rewards: 999.278, years: 157.800, PL: -0.002,VL: 6707.657, Ent: 1.340
[2023-06-03 01:26:46.262557] Update: 92 / 2000, Frames: 46500, Gov_Rewards: 1.281, House_Rewards: 579.263, years: 90.700, PL: -0.001,VL: 6481.700, Ent: 1.339
[2023-06-03 01:26:57.932733] Update: 93 / 2000, Frames: 47000, Gov_Rewards: 1.969, House_Rewards: 964.447, years: 150.500, PL: -0.001,VL: 6545.566, Ent: 1.338
[2023-06-03 01:27:08.258892] Update: 94 / 2000, Frames: 47500, Gov_Rewards: 1.580, House_Rewards: 766.775, years: 120.600, PL: -0.000,VL: 6574.031, Ent: 1.338
[2023-06-03 01:27:19.016939] Update: 95 / 2000, Frames: 48000, Gov_Rewards: 1.491, House_Rewards: 753.589, years: 120.600, PL: -0.001,VL: 6161.048, Ent: 1.337
[2023-06-03 01:27:31.711305] Update: 96 / 2000, Frames: 48500, Gov_Rewards: 2.408, House_Rewards: 1068.597, years: 167.900, PL: -0.003,VL: 6974.488, Ent: 1.336
[2023-06-03 01:27:42.626018] Update: 97 / 2000, Frames: 49000, Gov_Rewards: 2.009, House_Rewards: 944.969, years: 150.500, PL: -0.001,VL: 6254.171, Ent: 1.334
[2023-06-03 01:27:51.758573] Update: 98 / 2000, Frames: 49500, Gov_Rewards: 1.263, House_Rewards: 582.214, years: 90.700, PL: -0.001,VL: 5783.208, Ent: 1.334
[2023-06-03 01:28:04.355224] Update: 99 / 2000, Frames: 50000, Gov_Rewards: 2.258, House_Rewards: 1141.370, years: 180.400, PL: -0.000,VL: 6575.698, Ent: 1.333
[2023-06-03 01:28:14.818368] Update: 100 / 2000, Frames: 50500, Gov_Rewards: 1.532, House_Rewards: 750.714, years: 120.600, PL: -0.002,VL: 6201.603, Ent: 1.332
[2023-06-03 01:28:27.540308] Update: 101 / 2000, Frames: 51000, Gov_Rewards: 2.662, House_Rewards: 1267.742, years: 201.100, PL: -0.001,VL: 6156.855, Ent: 1.331
